,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance
0,lodash,4.17.21,Lodash modular utilities.,"['modules', 'stdlib', 'util']",,,56852,175394745.66666666,561790.0786529682,91889,0.6779972489515405,0.9832919824411644,0.9835760839038322
1,react,17.0.2,React is a JavaScript library for building user interfaces.,['react'],"{'loose-envify': '^1.1.0', 'object-assign': '^4.1.1'}",,207295,42328999.333333336,108413.48300989345,49446,0.9003979043794126,0.9429033738980093,0.9725458560303673
2,loose-envify,1.4.0,Fast (and loose) selective `process.env` replacer using js-tokens instead of an AST,"['environment', 'variables', 'browserify', 'browserify-transform', 'transform', 'source', 'configuration']",{'js-tokens': '^3.0.0 || ^4.0.0'},"{'browserify': '^13.1.1', 'envify': '^3.4.0', 'tap': '^8.0.0'}",278,56785779.0,98507.12136605784,516,0.9295726835687892,0.5922618050763575,0.9998651952945008
3,js-tokens,6.0.0,Tiny JavaScript tokenizer.,"['JavaScript', 'js', 'ECMAScript', 'es', 'token', 'tokens', 'tokenize', 'tokenizer', 'regex', 'regexp']",,,5,100306313.0,224345.29944824963,194,0.1989849939146585,0.5283854360498504,0.13700076530790864
4,object-assign,4.1.1,ES2015 `Object.assign()` ponyfill,"['object', 'assign', 'extend', 'properties', 'es2015', 'ecmascript', 'harmony', 'ponyfill', 'prollyfill', 'polyfill', 'shim', 'browser']",,"{'ava': '^0.16.0', 'lodash': '^4.16.4', 'matcha': '^0.7.0', 'xo': '^0.16.0'}",1067,105929912.33333333,317124.5145167429,6937,0.9554165595786436,0.7695949873987991,0.9998651952945008
5,chalk,4.1.0,Terminal string styling done right,"['color', 'colour', 'colors', 'terminal', 'console', 'cli', 'string', 'str', 'ansi', 'style', 'styles', 'tty', 'formatting', 'rgb', '256', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text']","{'ansi-styles': '^4.1.0', 'supports-color': '^7.1.0'}","{'ava': '^2.4.0', 'coveralls': '^3.0.7', 'execa': '^4.0.0', 'import-fresh': '^3.1.0', 'matcha': '^0.7.0', 'nyc': '^15.0.0', 'resolve-from': '^5.0.0', 'tsd': '^0.7.4', 'xo': '^0.28.2'}",17627,270704432.0,948333.2457762556,56930,0.8944135914991744,0.9463422859896276,0.999894531306083
6,ansi-styles,5.2.0,ANSI escape codes for styling strings in the terminal,"['ansi', 'styles', 'color', 'colour', 'colors', 'terminal', 'console', 'cli', 'string', 'tty', 'escape', 'formatting', 'rgb', '256', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text']",,"{'ava': '^2.4.0', 'svg-term-cli': '^2.1.1', 'tsd': '^0.14.0', 'xo': '^0.37.1'}",402,273069761.6666667,1151955.187480974,549,0.8348371147464844,0.6517165355241257,0.999894531306083
7,supports-color,8.1.1,Detect whether a terminal supports color,"['color', 'colour', 'colors', 'terminal', 'console', 'cli', 'ansi', 'styles', 'tty', 'rgb', '256', 'shell', 'xterm', 'command-line', 'support', 'supports', 'capability', 'detect', 'truecolor', '16m']",{'has-flag': '^4.0.0'},"{'ava': '^2.4.0', 'import-fresh': '^3.2.2', 'xo': '^0.35.0'}",344,314798422.3333333,901148.04543379,794,0.8348371147464844,0.6610269619943957,0.9999407017684381
8,has-flag,4.0.0,Check if argv has a specific flag,"['has', 'check', 'detect', 'contains', 'find', 'flag', 'cli', 'command-line', 'argv', 'process', 'arg', 'args', 'argument', 'arguments', 'getopt', 'minimist', 'optimist']",,"{'ava': '^1.4.1', 'tsd': '^0.7.2', 'xo': '^0.24.0'}",86,185537300.66666666,625184.9615296801,221,0.9554165595786436,0.5857204614774358,0.9999405727453268
9,tslib,2.1.0,Runtime library for TypeScript helper functions,"['TypeScript', 'Microsoft', 'compiler', 'language', 'javascript', 'tslib', 'runtime']",,,920,149239181.0,745092.7449391172,39054,0.8540986051313582,0.8235146183602569,0.6665514235070469
10,axios,0.21.1,Promise based HTTP client for the browser and node.js,"['xhr', 'http', 'ajax', 'promise', 'node']",{'follow-redirects': '^1.10.0'},"{'bundlesize': '^0.17.0', 'coveralls': '^3.0.0', 'es6-promise': '^4.2.4', 'grunt': '^1.0.2', 'grunt-banner': '^0.6.0', 'grunt-cli': '^1.2.0', 'grunt-contrib-clean': '^1.1.0', 'grunt-contrib-watch': '^1.0.0', 'grunt-eslint': '^20.1.0', 'grunt-karma': '^2.0.0', 'grunt-mocha-test': '^0.13.3', 'grunt-ts': '^6.0.0-beta.19', 'grunt-webpack': '^1.0.18', 'istanbul-instrumenter-loader': '^1.0.0', 'jasmine-core': '^2.4.1', 'karma': '^1.3.0', 'karma-chrome-launcher': '^2.2.0', 'karma-coverage': '^1.1.1', 'karma-firefox-launcher': '^1.1.0', 'karma-jasmine': '^1.1.1', 'karma-jasmine-ajax': '^0.1.13', 'karma-opera-launcher': '^1.0.0', 'karma-safari-launcher': '^1.0.0', 'karma-sauce-launcher': '^1.2.0', 'karma-sinon': '^1.0.5', 'karma-sourcemap-loader': '^0.3.7', 'karma-webpack': '^1.7.0', 'load-grunt-tasks': '^3.5.2', 'minimist': '^1.2.0', 'mocha': '^5.2.0', 'sinon': '^4.5.0', 'typescript': '^2.8.1', 'url-search-params': '^0.10.0', 'webpack': '^1.13.1', 'webpack-dev-server': '^1.14.1'}",92796,74501466.66666667,299821.730783866,37491,0.8995730038310638,0.9689188191449003,0.6623493526718395
11,follow-redirects,1.13.3,HTTP and HTTPS modules that follow redirects.,"['http', 'https', 'url', 'redirect', 'client', 'location', 'utility']",,"{'concat-stream': '^2.0.0', 'eslint': '^5.16.0', 'express': '^4.16.4', 'lolex': '^3.1.0', 'mocha': '^6.0.2', 'nyc': '^14.1.1'}",418,97024268.33333333,399856.1875570775,519,0.9883321884477054,0.6373548394780291,0.999894531306083
12,express,4.17.1,"Fast, unopinionated, minimalist web framework","['express', 'framework', 'sinatra', 'web', 'rest', 'restful', 'router', 'app', 'api']","{'accepts': '~1.3.7', 'array-flatten': '1.1.1', 'body-parser': '1.19.0', 'content-disposition': '0.5.3', 'content-type': '~1.0.4', 'cookie': '0.4.0', 'cookie-signature': '1.0.6', 'debug': '2.6.9', 'depd': '~1.1.2', 'encodeurl': '~1.0.2', 'escape-html': '~1.0.3', 'etag': '~1.8.1', 'finalhandler': '~1.1.2', 'fresh': '0.5.2', 'merge-descriptors': '1.0.1', 'methods': '~1.1.2', 'on-finished': '~2.3.0', 'parseurl': '~1.3.3', 'path-to-regexp': '0.1.7', 'proxy-addr': '~2.0.5', 'qs': '6.7.0', 'range-parser': '~1.2.1', 'safe-buffer': '5.1.2', 'send': '0.17.1', 'serve-static': '1.14.1', 'setprototypeof': '1.1.1', 'statuses': '~1.5.0', 'type-is': '~1.6.18', 'utils-merge': '1.0.1', 'vary': '~1.1.2'}","{'after': '0.8.2', 'connect-redis': '3.4.1', 'cookie-parser': '~1.4.4', 'cookie-session': '1.3.3', 'ejs': '2.6.1', 'eslint': '2.13.1', 'express-session': '1.16.1', 'hbs': '4.0.4', 'istanbul': '0.4.5', 'marked': '0.6.2', 'method-override': '3.0.0', 'mocha': '5.2.0', 'morgan': '1.9.1', 'multiparty': '4.2.1', 'pbkdf2-password': '1.2.1', 'should': '13.2.3', 'supertest': '3.3.0', 'vhost': '~3.0.2'}",65750,67021014.333333336,133868.55743911723,40080,0.8835856646254401,0.9490644678667313,0.562920307306761
